商品名,種別1,種別2,カテゴリー,税区分,販売総売上,構成比%,粗利総額,構成比%,販売商品数,構成比%,返品商品数,構成比%,商品ID,商品コード,バーコード
レモネソーダ,,,ソフトドリンク,内税,49640,36.4,49640,36.4,73,34.1,0,0.0,10215,,
Iレモネード,,,ソフトドリンク,内税,20460,15.0,20460,15.0,31,14.5,0,0.0,10214,,
バナJ,,,ソフトドリンク,内税,17680,13.0,17680,13.0,26,12.1,0,0.0,10057,,
りんごJ,,,ソフトドリンク,内税,10000,7.3,10000,7.3,20,9.3,0,0.0,10055,,
GA,,,ソフトドリンク,内税,10000,7.3,10000,7.3,20,9.3,0,0.0,10056,,
ESPトニック,,,ソフトドリンク,内税,9520,7.0,9520,7.0,14,6.5,0,0.0,10216,,
Iココア,,,ソフトドリンク,内税,8160,6.0,8160,6.0,12,5.6,0,0.0,10051,,
やまももソーダ,,,ソフトドリンク,内税,5440,4.0,5440,4.0,8,3.7,0,0.0,10513,,
Iミルク,,,ソフトドリンク,内税,2650,1.9,2650,1.9,5,2.3,0,0.0,10053,,
レモネード,,,ソフトドリンク,内税,1260,0.9,1260,0.9,2,0.9,0,0.0,10213,,
ミルク,,,ソフトドリンク,内税,1000,0.7,1000,0.7,2,0.9,0,0.0,10052,,
ココア,,,ソフトドリンク,内税,630,0.5,630,0.5,1,0.5,0,0.0,10050,,
