商品名,種別1,種別2,カテゴリー,税区分,販売総売上,構成比%,粗利総額,構成比%,販売商品数,構成比%,返品商品数,構成比%,商品ID,商品コード,バーコード
☆IET,,,ランチセット　紅茶・抹茶,内税,8640,18.8,8640,18.8,18,19.8,0,0.0,10433,,
☆Iチャイ,,,ランチセット　紅茶・抹茶,内税,8400,18.3,8400,18.3,15,16.5,0,0.0,10439,,
☆Iゆず,,,ランチセット　紅茶・抹茶,内税,6720,14.6,6720,14.6,14,15.4,0,0.0,10437,,
☆GTO,,,ランチセット　紅茶・抹茶,内税,4950,10.8,4950,10.8,9,9.9,0,0.0,10443,,
☆IST,,,ランチセット　紅茶・抹茶,内税,4320,9.4,4320,9.4,9,9.9,0,0.0,10435,,
☆I抹ラテ,,,ランチセット　紅茶・抹茶,内税,3920,8.5,3920,8.5,7,7.7,0,0.0,10445,,
☆チャイ,,,ランチセット　紅茶・抹茶,内税,3060,6.7,3060,6.7,6,6.6,0,0.0,10438,,
☆ET,,,ランチセット　紅茶・抹茶,内税,3010,6.5,3010,6.5,7,7.7,0,0.0,10432,,
☆抹ラテ,,,ランチセット　紅茶・抹茶,内税,1020,2.2,1020,2.2,2,2.2,0,0.0,10444,,
☆ST,,,ランチセット　紅茶・抹茶,内税,860,1.9,860,1.9,2,2.2,0,0.0,10434,,
☆IRMT,,,ランチセット　紅茶・抹茶,内税,560,1.2,560,1.2,1,1.1,0,0.0,10441,,
☆GT,,,ランチセット　紅茶・抹茶,内税,500,1.1,500,1.1,1,1.1,0,0.0,10442,,
