商品名,種別1,種別2,カテゴリー,税区分,販売総売上,構成比%,粗利総額,構成比%,販売商品数,構成比%,返品商品数,構成比%,商品ID,商品コード,バーコード
☆IC,,,ランチセット　コーヒー,内税,36540,56.1,36540,56.1,63,54.3,0,0.0,10329,,
☆BC,,,ランチセット　コーヒー,内税,15900,24.4,15900,24.4,30,25.9,0,0.0,10328,,
☆ICEマンデリン,,,ランチセット　コーヒー,内税,2900,4.5,2900,4.5,5,4.3,0,0.0,10335,,
☆ICEモカ,,,ランチセット　コーヒー,内税,2900,4.5,2900,4.5,5,4.3,0,0.0,10337,,
☆ICEデカフェ,,,ランチセット　コーヒー,内税,2120,3.3,2120,3.3,4,3.4,0,0.0,10333,,
☆デカフェ,,,ランチセット　コーヒー,内税,1440,2.2,1440,2.2,3,2.6,0,0.0,10332,,
☆ICEブラジル,,,ランチセット　コーヒー,内税,1160,1.8,1160,1.8,2,1.7,0,0.0,10418,,
☆ICEダークロースト,,,ランチセット　コーヒー,内税,1120,1.7,1120,1.7,2,1.7,0,0.0,10331,,
☆モカ,,,ランチセット　コーヒー,内税,530,0.8,530,0.8,1,0.9,0,0.0,10336,,
☆ブラジル,,,ランチセット　コーヒー,内税,530,0.8,530,0.8,1,0.9,0,0.0,10340,,
