商品名,種別1,種別2,カテゴリー,税区分,販売総売上,構成比%,粗利総額,構成比%,販売商品数,構成比%,返品商品数,構成比%,商品ID,商品コード,バーコード
IC,,,コーヒー,内税,86940,35.0,86940,35.0,128,35.2,0,0.0,10001,,
BC,,,コーヒー,内税,73710,29.7,73710,29.7,117,32.1,0,0.0,10000,,
マンデ,,,コーヒー,内税,33480,13.5,33480,13.5,46,12.6,0,0.0,10002,,
Iモカ,,,コーヒー,内税,10140,4.1,10140,4.1,13,3.6,0,0.0,10005,,
モカ,,,コーヒー,内税,8030,3.2,8030,3.2,11,3.0,0,0.0,10004,,
デカフェ,,,コーヒー,内税,7480,3.0,7480,3.0,11,3.0,0,0.0,10010,,
Iマンデ,,,コーヒー,内税,7020,2.8,7020,2.8,9,2.5,0,0.0,10003,,
Iダーク,,,コーヒー,内税,6080,2.5,6080,2.5,8,2.2,0,0.0,10009,,
ブラジル,,,コーヒー,内税,5840,2.4,5840,2.4,8,2.2,0,0.0,10006,,
Iデカフェ,,,コーヒー,内税,4980,2.0,4980,2.0,7,1.9,0,0.0,10011,,
ダーク,,,コーヒー,内税,2840,1.1,2840,1.1,4,1.1,0,0.0,10008,,
Iブラジル,,,コーヒー,内税,1560,0.6,1560,0.6,2,0.5,0,0.0,10007,,
