商品名,種別1,種別2,カテゴリー,税区分,販売総売上,構成比%,粗利総額,構成比%,販売商品数,構成比%,返品商品数,構成比%,商品ID,商品コード,バーコード
☆GA,,,ランチセット　ソフトドリンク,内税,2000,14.7,2000,14.7,5,16.7,0,0.0,10452,,
☆バナナJ,,氷無し,ランチセット　ソフトドリンク,内税,2000,14.7,2000,14.7,4,13.3,0,0.0,10454,,
☆レモネソーダ,,,ランチセット　ソフトドリンク,内税,2000,14.7,2000,14.7,4,13.3,0,0.0,10457,,
☆りんごJ,,氷あり,ランチセット　ソフトドリンク,内税,1600,11.8,1600,11.8,4,13.3,0,0.0,10453,,
☆バナナJ,,氷あり,ランチセット　ソフトドリンク,内税,1500,11.0,1500,11.0,3,10.0,0,0.0,10454,,
☆レモネード,HOT,,ランチセット　ソフトドリンク,内税,1500,11.0,1500,11.0,3,10.0,0,0.0,10455,,
☆コーラ,,,ランチセット　ソフトドリンク,内税,1200,8.8,1200,8.8,3,10.0,0,0.0,10451,,
☆りんごJ,,氷無し,ランチセット　ソフトドリンク,内税,800,5.9,800,5.9,2,6.7,0,0.0,10453,,
☆レモネード,,,ランチセット　ソフトドリンク,内税,500,3.7,500,3.7,1,3.3,0,0.0,10455,,
☆Iレモネード,,,ランチセット　ソフトドリンク,内税,500,3.7,500,3.7,1,3.3,0,0.0,10456,,
