商品名,種別1,種別2,カテゴリー,税区分,販売総売上,構成比%,粗利総額,構成比%,販売商品数,構成比%,返品商品数,構成比%,商品ID,商品コード,バーコード
クラム,バケット,ガーリック,Lunchクラムチャウダー,内税,50700,51.3,50700,51.3,39,43.8,0,0.0,10356,,
クラム,バケット,プレーン,Lunchクラムチャウダー,内税,20800,21.1,20800,21.1,16,18.0,0,0.0,10356,,
クラム,ご飯,,Lunchクラムチャウダー,内税,14300,14.5,14300,14.5,11,12.4,0,0.0,10356,,
☆,バナナジュース,,Lunchクラムチャウダー,内税,2000,2.0,2000,2.0,4,4.5,0,0.0,10816,,
クラム,ご飯少なめ,,Lunchクラムチャウダー,内税,1300,1.3,1300,1.3,1,1.1,0,0.0,10356,,
☆,生ビール,,Lunchクラムチャウダー,内税,1200,1.2,1200,1.2,2,2.2,0,0.0,10837,,
☆,IC,,Lunchクラムチャウダー,内税,600,0.6,600,0.6,1,1.1,0,0.0,10817,,
☆,HOT抹茶ラテ,,Lunchクラムチャウダー,内税,600,0.6,600,0.6,1,1.1,0,0.0,10818,,
☆,HOTキャラメルラテ,,Lunchクラムチャウダー,内税,550,0.6,550,0.6,1,1.1,0,0.0,10816,,
☆,O,ホイップあり,Lunchクラムチャウダー,内税,550,0.6,550,0.6,1,1.1,0,0.0,10817,,
☆,O,ホイップなし,Lunchクラムチャウダー,内税,550,0.6,550,0.6,1,1.1,0,0.0,10817,,
☆,HOTラテ,,Lunchクラムチャウダー,内税,550,0.6,550,0.6,1,1.1,0,0.0,10817,,
☆,ICEラテ,,Lunchクラムチャウダー,内税,550,0.6,550,0.6,1,1.1,0,0.0,10817,,
☆,HOTカフェモカ,,Lunchクラムチャウダー,内税,550,0.6,550,0.6,1,1.1,0,0.0,10817,,
☆,OJ,,Lunchクラムチャウダー,内税,500,0.5,500,0.5,1,1.1,0,0.0,10816,,
☆,GA,,Lunchクラムチャウダー,内税,500,0.5,500,0.5,1,1.1,0,0.0,10816,,
☆,ICEレモネード,,Lunchクラムチャウダー,内税,500,0.5,500,0.5,1,1.1,0,0.0,10816,,
☆,ICEゆず茶,,Lunchクラムチャウダー,内税,500,0.5,500,0.5,1,1.1,0,0.0,10816,,
☆,IEST,,Lunchクラムチャウダー,内税,500,0.5,500,0.5,1,1.1,0,0.0,10817,,
☆,ST,,Lunchクラムチャウダー,内税,500,0.5,500,0.5,1,1.1,0,0.0,10817,,
☆,EST,,Lunchクラムチャウダー,内税,500,0.5,500,0.5,1,1.1,0,0.0,10818,,
☆,GA,,Lunchクラムチャウダー,内税,500,0.5,500,0.5,1,1.1,0,0.0,10818,,
