商品名,種別1,種別2,カテゴリー,税区分,販売総売上,構成比%,粗利総額,構成比%,販売商品数,構成比%,返品商品数,構成比%,商品ID,商品コード,バーコード
BC,,,コーヒー,内税,125370,38.0,125370,38.0,199,40.5,0,0.0,10000,,
IC,,,コーヒー,内税,56440,17.1,56440,17.1,83,16.9,0,0.0,10001,,
マンデ,,,コーヒー,内税,27740,8.4,27740,8.4,38,7.7,0,0.0,10002,,
BC,H,,コーヒー,内税,26510,8.0,26510,8.0,42,8.6,0,0.0,10000,,
ダーク,,,コーヒー,内税,18940,5.7,18940,5.7,26,5.3,0,0.0,10008,,
ブラジル,,,コーヒー,内税,12410,3.8,12410,3.8,17,3.5,0,0.0,10006,,
マンデ,HOT,,コーヒー,内税,10220,3.1,10220,3.1,14,2.9,0,0.0,10002,,
モカ,,,コーヒー,内税,8760,2.7,8760,2.7,12,2.4,0,0.0,10004,,
モカ,HOT,,コーヒー,内税,8030,2.4,8030,2.4,11,2.2,0,0.0,10004,,
デカフェ,,,コーヒー,内税,7810,2.4,7810,2.4,11,2.2,0,0.0,10010,,
Iモカ,,,コーヒー,内税,4680,1.4,4680,1.4,6,1.2,0,0.0,10005,,
ダーク,HOT,,コーヒー,内税,4260,1.3,4260,1.3,6,1.2,0,0.0,10008,,
デカフェ,HOT,,コーヒー,内税,3420,1.0,3420,1.0,5,1.0,0,0.0,10010,,
Iマンデ,,,コーヒー,内税,3120,0.9,3120,0.9,4,0.8,0,0.0,10003,,
Iブラジル,,,コーヒー,内税,3120,0.9,3120,0.9,4,0.8,0,0.0,10007,,
BC,I,,コーヒー,内税,2720,0.8,2720,0.8,4,0.8,0,0.0,10000,,
Iダーク,,,コーヒー,内税,2280,0.7,2280,0.7,3,0.6,0,0.0,10009,,
Iデカフェ,,,コーヒー,内税,1520,0.5,1520,0.5,2,0.4,0,0.0,10011,,
マンデ,ICE,,コーヒー,内税,780,0.2,780,0.2,1,0.2,0,0.0,10002,,
ブラジル,HOT,,コーヒー,内税,730,0.2,730,0.2,1,0.2,0,0.0,10006,,
drink,,,コーヒー,内税,710,0.2,710,0.2,1,0.2,0,0.0,10198,,
BC,ICE,,コーヒー,内税,630,0.2,630,0.2,1,0.2,0,0.0,10000,,
