商品名,種別1,種別2,カテゴリー,税区分,販売総売上,構成比%,粗利総額,構成比%,販売商品数,構成比%,返品商品数,構成比%,商品ID,商品コード,バーコード
カレー,普通,,Lunchカレー,内税,98800,67.8,98800,67.8,76,55.9,0,0.0,10355,,
カレー,全部大盛,,Lunchカレー,内税,11200,7.7,11200,7.7,7,5.1,0,0.0,10355,,
カレー,ご飯少なめ,,Lunchカレー,内税,6500,4.5,6500,4.5,5,3.7,0,0.0,10355,,
☆,BC,,Lunchカレー,内税,4800,3.3,4800,3.3,8,5.9,0,0.0,10810,,
カレー,ご飯大盛,,Lunchカレー,内税,4400,3.0,4400,3.0,3,2.2,0,0.0,10355,,
☆,IC,,Lunchカレー,内税,3600,2.5,3600,2.5,6,4.4,0,0.0,10810,,
☆,バナナジュース,,Lunchカレー,内税,2100,1.4,2100,1.4,4,2.9,0,0.0,10812,,
☆,レモネードソーダ,,Lunchカレー,内税,2000,1.4,2000,1.4,4,2.9,0,0.0,10812,,
☆,HOTラテ,,Lunchカレー,内税,1700,1.2,1700,1.2,3,2.2,0,0.0,10810,,
☆,ICEラテ,,Lunchカレー,内税,1650,1.1,1650,1.1,3,2.2,0,0.0,10810,,
☆,IEST,,Lunchカレー,内税,1550,1.1,1550,1.1,3,2.2,0,0.0,10811,,
☆,Iチャイ,,Lunchカレー,内税,1200,0.8,1200,0.8,2,1.5,0,0.0,10811,,
☆,HAC,,Lunchカレー,内税,1000,0.7,1000,0.7,2,1.5,0,0.0,10810,,
☆,IAC,,Lunchカレー,内税,1000,0.7,1000,0.7,2,1.5,0,0.0,10810,,
☆,りんごJ,,Lunchカレー,内税,1000,0.7,1000,0.7,2,1.5,0,0.0,10812,,
☆,白ワイン,,Lunchカレー,内税,650,0.4,650,0.4,1,0.7,0,0.0,10835,,
☆,Hチャイ,,Lunchカレー,内税,600,0.4,600,0.4,1,0.7,0,0.0,10811,,
☆,O,ホイップ無し,Lunchカレー,内税,550,0.4,550,0.4,1,0.7,0,0.0,10810,,
☆,HOTゆず茶,,Lunchカレー,内税,500,0.3,500,0.3,1,0.7,0,0.0,10811,,
☆,ICEゆず茶,,Lunchカレー,内税,500,0.3,500,0.3,1,0.7,0,0.0,10811,,
☆,コーラ,,Lunchカレー,内税,500,0.3,500,0.3,1,0.7,0,0.0,10812,,
