商品名,種別1,種別2,カテゴリー,税区分,販売総売上,構成比%,粗利総額,構成比%,販売商品数,構成比%,返品商品数,構成比%,商品ID,商品コード,バーコード
BC,,,コーヒー,内税,141050,42.8,141050,42.8,217,44.8,0,0.0,10000,,
IC,,,コーヒー,内税,78650,23.9,78650,23.9,121,25.0,0,0.0,10001,,
マンデ,HOT,,コーヒー,内税,36000,10.9,36000,10.9,48,9.9,0,0.0,10002,,
モカ,HOT,,コーヒー,内税,20250,6.2,20250,6.2,27,5.6,0,0.0,10004,,
ダーク,HOT,,コーヒー,内税,14250,4.3,14250,4.3,19,3.9,0,0.0,10008,,
デカフェ,HOT,,コーヒー,内税,11250,3.4,11250,3.4,15,3.1,0,0.0,10010,,
ブラジル,HOT,,コーヒー,内税,10500,3.2,10500,3.2,14,2.9,0,0.0,10006,,
モカ,ICE,,コーヒー,内税,4500,1.4,4500,1.4,6,1.2,0,0.0,10004,,
ブラジル,ICE,,コーヒー,内税,3750,1.1,3750,1.1,5,1.0,0,0.0,10006,,
デカフェ,ICE,,コーヒー,内税,3750,1.1,3750,1.1,5,1.0,0,0.0,10010,,
ダーク,ICE,,コーヒー,内税,2250,0.7,2250,0.7,3,0.6,0,0.0,10008,,
Iモカ,,,コーヒー,内税,1500,0.5,1500,0.5,2,0.4,0,0.0,10005,,
マンデ,ICE,,コーヒー,内税,750,0.2,750,0.2,1,0.2,0,0.0,10002,,
Iブラジル,,,コーヒー,内税,750,0.2,750,0.2,1,0.2,0,0.0,10007,,
