商品名,販売商品数
レモソーダ,7
IC,5
BC,4
Iラテ,3
IAC,3
ラテ,2
Iカフェモカ,2
コーラ,2
バナJ,2
GTO,1
抹茶ラテ,1
生ビール,1
O,1
カプチ,1
カプチ,1
Iキャラメルラテ,1
AC,1
IET_ストレート,1
IST_ストレート,1
Iゆず,1
Iレモネード,1
ESPトニック,1
生ビール,5
IC,4
ラテ,3
O,2
ET_ストレート,2
IET_ストレート,2
チャイ,1
抹茶ラテ,1
白ワイン,1
IO,1
Iラテ,1
IAC,1
コーラ,1
りんごJ,1
GA,1
バナJ,1
Iレモネード,1
BC,6
IC,4
ラテ,3
Iキャラメルラテ,3
バナJ,3
チャイ,2
Iチャイ,2
生ビール,2
IAC,2
IET_ストレート,2
レモソーダ,2
白ワイン,1
Iラテ,1
GA,1
BC,9
チャイ,4
Iレモネード,4
IO,2
IST_ストレート,2
コーラ,2
レモソーダ,2
IC,1
O,1
O,1
ラテ,1
カプチ,1
キャラメルラテ,1
AC,1
IAC,1
IET_ストレート,1
ST_ストレート,1
りんごJ,1
GA,1
バナJ,1
豆乳,1
BC,5
Iラテ,3
IC,2
生ビール,2
Iチャイ,1
O,1
ラテ,1
カプチ,1
コーラ,1
バナJ,1
Iレモネード,1
レモソーダ,1
ET_ストレート,1
BC,1
O,1
ラテ,1
Iラテ,1
Iキャラメルラテ,1
AC,1
BC,4
抹茶ラテ,2
GA,1
ET_ストレート,1
ST_ストレート,1
BC,4
Iラテ,2
バナJ,2
AC,2
IC,1
抹茶ラテ,1
生ビール,1
IO,1
ラテ,1
GA,1
ミルク,1
レモソーダ,1
ゆず,1
ET_ストレート,1
りんごJ,2
BC,1
チャイ,1
抹茶ラテ,1
Iミルク,1
レモネード,1
Iゆず,1
BC,8
IC,6
バナJ,4
レモソーダ,4
ラテ,3
Iラテ,3
IET_ストレート,3
Iチャイ,2
AC,2
IAC,2
りんごJ,2
白ワイン,1
チャイ,1
O,1
ゆず,1
Iゆず,1
コーラ,1
