商品名,販売商品数
チャイ,66
抹茶ラテ,54
Iチャイ,35
GTO,30
IET_ストレート,26
I抹茶ラテ,20
ET_ストレート,20
ゆず,20
Iゆず紅茶,13
GT,12
抹茶(お菓子付き),7
ST_ストレート,9
Iチャイ,8
ET_ミルク,7
Iゆず,7
I抹茶ラテ,6
ET_レモン,6
IET_ミルク,6
IST_ストレート,6
IET_レモン,5
RMT,2
ST_ミルク,2
ST_レモン,1
IST_レモン,1
IST_ミルク,1
Iゆず,1
ラテ,102
Iラテ,81
IAC,43
O,34
AC,26
Iラテ,23
カプチ,21
キャラメルラテ,20
IO,21
キャラメルラテ,15
O,16
Iカフェモカ,10
カフェモカ,8
デカフェラテ,8
ESP,9
IO,6
カプチ,4
Iデカフェラテ,4
Iデカフェラテ,4
IAC_W,2
デカフェキャララテ,2
Iデカフェキャララテ,2
キャラメルラテ,2
AC_W,1
デカフェカプチ,1
デカフェカフェモカ,1
豆乳,3
BC,217
IC,121
マンデ,48
モカ,27
ダーク,19
デカフェ,15
ブラジル,14
Iモカ,6
Iブラジル,5
Iデカフェ,5
Iダーク,3
Iモカ,2
Iマンデ,1
Iブラジル,1
レモソーダ,42
バナJ,30
ゆずソーダ,26
りんごJ,20
Iレモネード,15
レモネード,12
ココア,9
Iココア,9
ESPトニック,8
コーラ,9
Iミルク,4
GA,3
ミルク,2
Iレモネード,1
