商品名,販売商品数
AC,134
AC_W,7
BC,851
ESP,26
ESP_W,10
ESPトニック,30
ET_ストレート,109
ET_ミルク,36
ET_レモン,22
GA,56
GT,40
GTO,98
IAC,123
IAC_W,4
IC,416
IET_ストレート,95
IET_ミルク,24
IET_レモン,10
IO,95
IRMT,22
IST_ストレート,29
IST_ミルク,6
IST_レモン,3
Iゆず,42
Iゆず紅茶,13
Iカフェモカ,26
Iキャラメルラテ,10
Iココア,24
Iダーク,13
Iチャイ,113
Iデカフェ,13
Iデカフェキャララテ,2
Iデカフェラテ,14
Iブラジル,12
Iマンデ,10
Iミルク,9
Iモカ,21
Iラテ,300
Iレモネード,94
I抹茶ラテ,77
O,191
OJ,4
RMT,54
ST_ストレート,51
ST_ミルク,16
ST_レモン,7
drink,1
ゆず,82
ゆずソーダ,26
りんごJ,76
イチゴJ,1
カフェモカ,65
カプチ,168
キャラメルラテ,128
ココア,47
コーラ,39
ダーク,71
チャイ,289
デカフェ,45
デカフェカフェモカ,1
デカフェカプチ,1
デカフェキャララテ,6
デカフェラテ,18
バナJ,169
ブラジル,48
マンデ,151
ミルク,12
モカ,67
ラテ,447
レモソーダ,231
レモネード,57
抹茶(お菓子付き),25
抹茶ラテ,218
生ビール,38
白ワイン,9
豆乳,17
赤ワイン,1
